
sub-010002 ep00
 min_cluster_size  n_clusters   n_noise
                7           2       436
                8           2       466
               10           2       501
               20           2       352
               30           2       375
               50           2       452
              100           2       547
              150           2       578
              200           2       633

sub-010060 ep01
 min_cluster_size  n_clusters   n_noise
                3           2       153
                5           3       618
                7           3       730
                8           2       647
               10           2       670
               20           2       902
               30           2       805
               50           2       907
              100           2       774
              150           2       776
              200           2       752

sub-010060 ep02
 min_cluster_size  n_clusters   n_noise
                3           2        29
                5           2       659
                7           2       917
                8           2       968
               10           2       864
               20           2       798
               30           2       767
               50           2       740
              100           2       860
              150           2       804
              200           2       843

sub-010060 ep03
 min_cluster_size  n_clusters   n_noise
                3           3        89
                5           2       751
                7           3       864
                8           2       871
               10           2       945
               20           2       921
               30           2       880
               50           2       831
              100           2       810
              150           2       791
              200           2       728

sub-010060 ep04
 min_cluster_size  n_clusters   n_noise
                3           4       153
                5           2       618
                7           4      1070
                8           3      1052
               10           2      1174
               20           0      1203
               30           0      1203
               50           0      1203
              100           0      1203
              150           0      1203
              200           0      1203

sub-010060 ep05
 min_cluster_size  n_clusters   n_noise
                3           2       201
                5           2       449
                7           2       417
                8           2       348
               10           2       383
               20           2       434
               30           2       438
               50           2       417
              100           2       483
              150           2       520
              200           2       623

sub-010061 ep00
 min_cluster_size  n_clusters   n_noise
                3           4       239
                5           3      1130
                7           2      1398
                8           2      1447
               10           2      1442
               20           2      1587
               30           0      1664
               50           0      1664
              100           0      1664
              150           0      1664
              200           0      1664

sub-010061 ep01
 min_cluster_size  n_clusters   n_noise
                3           2        68
                5           3      1649
                7           2      1889
                8           2      1944
               10           2      1923
               20           2      2047
               30           2      2002
               50           0      2188
              100           0      2188
              150           0      2188
              200           0      2188

sub-010061 ep02
 min_cluster_size  n_clusters   n_noise
                3           2       289
                5           2       758
                7           4      1462
                8           3      1395
               10           2      1457
               20           0      1562
               30           0      1562
               50           0      1562
              100           0      1562
              150           0      1562
              200           0      1562

sub-010061 ep03
 min_cluster_size  n_clusters   n_noise
                3           2       212
                5           2       988
                7           2      1370
                8           2      1366
               10           2      1591
               20           0      1684
               30           0      1684
               50           0      1684
              100           0      1684
              150           0      1684
              200           0      1684

sub-010061 ep04
 min_cluster_size  n_clusters   n_noise
                3           2       242
                5           2       996
                7           2      1677
                8           2      1651
               10           2      1669
               20           2      1676
               30           0      1730
               50           0      1730
              100           0      1730
              150           0      1730
              200           0      1730

sub-010061 ep05
 min_cluster_size  n_clusters   n_noise
                3           3       131
                5           2      1391
                7           2      1939
                8           3      2039
               10           2      2060
               20           0      2119
               30           0      2119
               50           0      2119
              100           0      2119
              150           0      2119
              200           0      2119

sub-010061 ep06
 min_cluster_size  n_clusters   n_noise
                3           2        29
                5           3       828
                7           2      1394
                8           3      1417
               10           2      1390
               20           0      1480
               30           0      1480
               50           0      1480
              100           0      1480
              150           0      1480
              200           0      1480

sub-010062 ep00
 min_cluster_size  n_clusters   n_noise
                3           2       375
                5           7      1046
                7           2      1135
                8           2      1163
               10           0      1305
               20           0      1305
               30           0      1305
               50           0      1305
              100           0      1305
              150           0      1305
              200           0      1305

sub-010062 ep01
 min_cluster_size  n_clusters   n_noise
                3           4       314
                5           2       504
                7           2      1304
                8           2      1305
               10           2      1314
               20           0      1342
               30           0      1342
               50           0      1342
              100           0      1342
              150           0      1342
              200           0      1342

sub-010062 ep02
 min_cluster_size  n_clusters   n_noise
                3           6       384
                5           2       796
                7           2      1045
                8           2      1055
               10           2      1263
               20           0      1310
               30           0      1310
               50           0      1310
              100           0      1310
              150           0      1310
              200           0      1310

sub-010062 ep03
 min_cluster_size  n_clusters   n_noise
                3           2       203
                5           8      1093
                7           2      1150
                8           4      1205
               10           2      1219
               20           2      1194
               30           2      1209
               50           0      1335
              100           0      1335
              150           0      1335
              200           0      1335

sub-010062 ep04
 min_cluster_size  n_clusters   n_noise
                3           2       337
                5           2       421
                7           3      1193
                8           2      1159
               10           2      1155
               20           0      1275
               30           0      1275
               50           0      1275
              100           0      1275
              150           0      1275
              200           0      1275

sub-010062 ep05
 min_cluster_size  n_clusters   n_noise
                3           2        60
                5           3      1224
                7           2      1234
                8           2      1288
               10           2      1298
               20           0      1589
               30           0      1589
               50           0      1589
              100           0      1589
              150           0      1589
              200           0      1589

sub-010062 ep06
 min_cluster_size  n_clusters   n_noise
                3           3       165
                5           2       270
                7           2      1044
                8           2      1124
               10           3      1133
               20           0      1203
               30           0      1203
               50           0      1203
              100           0      1203
              150           0      1203
              200           0      1203

sub-010063 ep00
 min_cluster_size  n_clusters   n_noise
                3           3        86
                5           2       144
                7           3      1203
                8           2      1355
               10           3      1360
               20           2      1363
               30           0      1480
               50           0      1480
              100           0      1480
              150           0      1480
              200           0      1480

sub-010063 ep01
 min_cluster_size  n_clusters   n_noise
                3           2       168
                5           2       369
                7           2       800
                8           2      1921
               10           2      1936
               20           2      1963
               30           2      1936
               50           0      2086
              100           0      2086
              150           0      2086
              200           0      2086

sub-010063 ep02
 min_cluster_size  n_clusters   n_noise
                3           2        41
                5           2       333
                7           2       437
                8           2       818
               10           2       840
               20           0      1343
               30           0      1343
               50           0      1343
              100           0      1343
              150           0      1343
              200           0      1343

sub-010063 ep03
 min_cluster_size  n_clusters   n_noise
                3           4        81
                5           4       996
                7           3      1230
                8           3      1254
               10           3      1262
               20           0      1341
               30           0      1341
               50           0      1341
              100           0      1341
              150           0      1341
              200           0      1341

sub-010063 ep04
 min_cluster_size  n_clusters   n_noise
                3           3        56
                5           2       434
                7           2       923
                8           2       969
               10           2      1321
               20           0      1401
               30           0      1401
               50           0      1401
              100           0      1401
              150           0      1401
              200           0      1401

sub-010063 ep05
 min_cluster_size  n_clusters   n_noise
                3           2        60
                5           9       811
                7           2       430
                8           2       254
               10           2       791
               20           0      1363
               30           0      1363
               50           0      1363
              100           0      1363
              150           0      1363
              200           0      1363

sub-010064 ep00
 min_cluster_size  n_clusters   n_noise
                3           3        39
                5           2       747
                7           3      1184
                8           3      1166
               10           2      1130
               20           2      1199
               30           2      1193
               50           0      1284
              100           0      1284
              150           0      1284
              200           0      1284

sub-010064 ep01
 min_cluster_size  n_clusters   n_noise
                3           2         4
                5           2      1016
                7           4      1192
                8           4      1214
               10           2      1136
               20           2      1196
               30           2      1208
               50           0      1307
              100           0      1307
              150           0      1307
              200           0      1307

sub-010064 ep02
 min_cluster_size  n_clusters   n_noise
                3           2        41
                5           2      1424
                7           5      1927
                8           2      1949
               10           3      1970
               20           0      2030
               30           0      2030
               50           0      2030
              100           0      2030
              150           0      2030
              200           0      2030

sub-010064 ep03
 min_cluster_size  n_clusters   n_noise
                3           3       190
                5           2       391
                7           3      1561
                8           3      1582
               10           2      1550
               20           2      1595
               30           2      1643
               50           2      1610
              100           0      1722
              150           0      1722
              200           0      1722

sub-010064 ep04
 min_cluster_size  n_clusters   n_noise
                3           4       459
                5           3      1192
                7           2      1270
                8           2      1233
               10           2      1354
               20           0      1479
               30           0      1479
               50           0      1479
              100           0      1479
              150           0      1479
              200           0      1479

sub-010064 ep05
 min_cluster_size  n_clusters   n_noise
                3           3       258
                5           2      1039
                7           6      1486
                8           4      1474
               10           2      1459
               20           2      1502
               30           0      1587
               50           0      1587
              100           0      1587
              150           0      1587
              200           0      1587

sub-010064 ep06
 min_cluster_size  n_clusters   n_noise
                3           2        54
                5           2       847
                7           2      1181
                8           2      1201
               10           2      1042
               20           2      1174
               30           0      1256
               50           0      1256
              100           0      1256
              150           0      1256
              200           0      1256

sub-010065 ep00
 min_cluster_size  n_clusters   n_noise
                3           3       283
                5           2       817
                7           2       906
                8           2       852
               10           2       938
               20           2       872
               30           2       956
               50           2      1005
              100           0      1222
              150           0      1222
              200           0      1222

sub-010065 ep01
 min_cluster_size  n_clusters   n_noise
                3           2       138
                5           6       915
                7           3       991
                8           2       968
               10           2      1011
               20           2      1048
               30           2      1064
               50           2      1042
              100           0      1378
              150           0      1378
              200           0      1378

sub-010065 ep02
 min_cluster_size  n_clusters   n_noise
                3           2        68
                5           4       850
                7           3       944
                8           2       978
               10           2      1007
               20           2      1054
               30           2      1056
               50           2      1080
              100           0      1256
              150           0      1256
              200           0      1256

sub-010065 ep03
 min_cluster_size  n_clusters   n_noise
                3           2        86
                5          11      1051
                7           3       933
                8           4       965
               10           3       959
               20           2       988
               30           2       934
               50           2       938
              100           0      1216
              150           0      1216
              200           0      1216

sub-010065 ep04
 min_cluster_size  n_clusters   n_noise
                3           3       146
                5           3      1024
                7           3      1380
                8           2      1325
               10           2      1263
               20           2      1277
               30           2      1270
               50           2      1285
              100           0      1564
              150           0      1564
              200           0      1564

sub-010065 ep05
 min_cluster_size  n_clusters   n_noise
                3           4       435
                5           5       981
                7           5      1478
                8           3      1454
               10           2      1481
               20           2      1449
               30           0      1607
               50           0      1607
              100           0      1607
              150           0      1607
              200           0      1607

sub-010065 ep06
 min_cluster_size  n_clusters   n_noise
                3           2       189
                5           5       901
                7           2       894
                8           3       993
               10           0      1078
               20           2       953
               30           0      1078
               50           0      1078
              100           0      1078
              150           0      1078
              200           0      1078

sub-010066 ep00
 min_cluster_size  n_clusters   n_noise
                3           3       183
                5           2       975
                7           4      1242
                8           2      1278
               10           2      1252
               20           0      1324
               30           0      1324
               50           0      1324
              100           0      1324
              150           0      1324
              200           0      1324

sub-010066 ep01
 min_cluster_size  n_clusters   n_noise
                3           2        61
                5           2       104
                7           2      1163
                8           2      1208
               10           2      1248
               20           2      1267
               30           2      1246
               50           0      1369
              100           0      1369
              150           0      1369
              200           0      1369

sub-010066 ep02
 min_cluster_size  n_clusters   n_noise
                3           2       138
                5           3       874
                7           2      1149
                8           2      1171
               10           2      1262
               20           2      1268
               30           2      1178
               50           2      1162
              100           0      1372
              150           0      1372
              200           0      1372

sub-010066 ep03
 min_cluster_size  n_clusters   n_noise
                3           3       275
                5           2      1061
                7           3      1321
                8           2      1306
               10           2      1303
               20           2      1386
               30           0      1455
               50           0      1455
              100           0      1455
              150           0      1455
              200           0      1455

sub-010066 ep04
 min_cluster_size  n_clusters   n_noise
                3           3       195
                5          10      1297
                7           4      1312
                8           2      1271
               10           2      1282
               20           2      1307
               30           0      1399
               50           0      1399
              100           0      1399
              150           0      1399
              200           0      1399

sub-010066 ep05
 min_cluster_size  n_clusters   n_noise
                3           2        15
                5           2       405
                7           2      1269
                8           3      1303
               10           2      1332
               20           0      1366
               30           0      1366
               50           0      1366
              100           0      1366
              150           0      1366
              200           0      1366

sub-010066 ep06
 min_cluster_size  n_clusters   n_noise
                3           3       133
                5           2       950
                7           3      1170
                8           3      1191
               10           2      1171
               20           0      1276
               30           0      1276
               50           0      1276
              100           0      1276
              150           0      1276
              200           0      1276

sub-010067 ep00
 min_cluster_size  n_clusters   n_noise
                3           2       146
                5           3       912
                7           2      1055
                8           2      1049
               10           2      1061
               20           2       946
               30           2      1044
               50           2      1025
              100           0      1373
              150           0      1373
              200           0      1373

sub-010067 ep01
 min_cluster_size  n_clusters   n_noise
                3           3       114
                5           4       905
                7           3      1014
                8           2      1057
               10           2      1011
               20           2      1061
               30           2      1124
               50           2      1112
              100           0      1370
              150           0      1370
              200           0      1370

sub-010067 ep02
 min_cluster_size  n_clusters   n_noise
                3           5       233
                5           2       607
                7           2       598
                8           2      1331
               10           2      1354
               20           0      1393
               30           0      1393
               50           0      1393
              100           0      1393
              150           0      1393
              200           0      1393

sub-010067 ep03
 min_cluster_size  n_clusters   n_noise
                3           2       141
                5           3       935
                7           2       924
                8           2      1426
               10           2      1420
               20           2      1429
               30           0      1493
               50           0      1493
              100           0      1493
              150           0      1493
              200           0      1493

sub-010067 ep04
 min_cluster_size  n_clusters   n_noise
                3           7       325
                5           2       422
                7           3      1618
                8           2      1678
               10           2      1727
               20           0      1794
               30           0      1794
               50           0      1794
              100           0      1794
              150           0      1794
              200           0      1794

sub-010067 ep05
 min_cluster_size  n_clusters   n_noise
                3           3       129
                5           2       864
                7           3      1299
                8           2      1287
               10           2      1294
               20           0      1358
               30           0      1358
               50           0      1358
              100           0      1358
              150           0      1358
              200           0      1358

sub-010067 ep06
 min_cluster_size  n_clusters   n_noise
                3           4       155
                5           5      1098
                7           3      1145
                8           2      1125
               10           0      1202
               20           0      1202
               30           0      1202
               50           0      1202
              100           0      1202
              150           0      1202
              200           0      1202

sub-010068 ep00
 min_cluster_size  n_clusters   n_noise
                3           2        25
                5           3       393
                7           3      1218
                8           2      1014
               10           2      1276
               20           2      1276
               30           2      1286
               50           2      1290
              100           0      1424
              150           0      1424
              200           0      1424

sub-010068 ep01
 min_cluster_size  n_clusters   n_noise
                3           3       147
                5           2       501
                7           2      1233
                8           2      1255
               10           2      1243
               20           2      1249
               30           2      1261
               50           2      1218
              100           0      1391
              150           0      1391
              200           0      1391

sub-010068 ep02
 min_cluster_size  n_clusters   n_noise
                3           2        70
                5           2       771
                7           2      1173
                8           2      1162
               10           2      1160
               20           2      1146
               30           2      1225
               50           2      1261
              100           0      1430
              150           0      1430
              200           0      1430

sub-010068 ep03
 min_cluster_size  n_clusters   n_noise
                3           3        99
                5           2       516
                7           6      1930
                8           2      1949
               10           2      1915
               20           2      1933
               30           2      1966
               50           0      2087
              100           0      2087
              150           0      2087
              200           0      2087

sub-010068 ep04
 min_cluster_size  n_clusters   n_noise
                3           2        76
                5           3       602
                7           5      1328
                8           2      1297
               10           3      1350
               20           2      1355
               30           2      1310
               50           0      1449
              100           0      1449
              150           0      1449
              200           0      1449

sub-010068 ep05
 min_cluster_size  n_clusters   n_noise
                3           4       124
                5           2       432
                7           2       844
                8           2      1392
               10           2      1421
               20           0      1500
               30           0      1500
               50           0      1500
              100           0      1500
              150           0      1500
              200           0      1500

sub-010068 ep06
 min_cluster_size  n_clusters   n_noise
                3           5       194
                5           3       752
                7           2       704
                8           3      1267
               10           2      1277
               20           0      1343
               30           0      1343
               50           0      1343
              100           0      1343
              150           0      1343
              200           0      1343

sub-010069 ep00
 min_cluster_size  n_clusters   n_noise
                3           2        67
                5           3       781
                7           2       884
                8           2       908
               10           2       955
               20           2       971
               30           2       997
               50           2       940
              100           0      1171
              150           0      1171
              200           0      1171

sub-010069 ep01
 min_cluster_size  n_clusters   n_noise
                3           3       191
                5           3       904
                7           2       884
                8           2       908
               10           2       915
               20           2       995
               30           2      1014
               50           0      1120
              100           0      1120
              150           0      1120
              200           0      1120

sub-010069 ep02
 min_cluster_size  n_clusters   n_noise
                3           2        37
                5           5       943
                7           0      1135
                8           0      1135
               10           0      1135
               20           0      1135
               30           0      1135
               50           0      1135
              100           0      1135
              150           0      1135
              200           0      1135

sub-010069 ep03
 min_cluster_size  n_clusters   n_noise
                3           3       105
                5           2       739
                7           3       883
                8           2      1275
               10           2      1269
               20           0      1334
               30           0      1334
               50           0      1334
              100           0      1334
              150           0      1334
              200           0      1334

sub-010069 ep04
 min_cluster_size  n_clusters   n_noise
                3           4        63
                5           5      1183
                7           2      1383
                8           2      1378
               10           0      1420
               20           0      1420
               30           0      1420
               50           0      1420
              100           0      1420
              150           0      1420
              200           0      1420

sub-010069 ep05
 min_cluster_size  n_clusters   n_noise
                3          28       808
                5           2       576
                7           0      1226
                8           0      1226
               10           0      1226
               20           0      1226
               30           0      1226
               50           0      1226
              100           0      1226
              150           0      1226
              200           0      1226

sub-010069 ep06
 min_cluster_size  n_clusters   n_noise
                3           2        50
                5           2       478
                7           3       979
                8           2       983
               10           0      1042
               20           0      1042
               30           0      1042
               50           0      1042
              100           0      1042
              150           0      1042
              200           0      1042

sub-010070 ep00
 min_cluster_size  n_clusters   n_noise
                3           3       241
                5           3      1003
                7           3      1063
                8           2      1086
               10           2      1058
               20           2      1128
               30           2      1100
               50           2      1108
              100           0      1277
              150           0      1277
              200           0      1277

sub-010070 ep01
 min_cluster_size  n_clusters   n_noise
                3           2         9
                5           2      1114
                7           3      2059
                8           2      2085
               10           2      2114
               20           2      2131
               30           0      2201
               50           0      2201
              100           0      2201
              150           0      2201
              200           0      2201

sub-010070 ep02
 min_cluster_size  n_clusters   n_noise
                3           2       166
                5           3       980
                7           2      1120
                8           2      1121
               10           2      1214
               20           0      1265
               30           0      1265
               50           0      1265
              100           0      1265
              150           0      1265
              200           0      1265

sub-010070 ep03
 min_cluster_size  n_clusters   n_noise
                3           5       203
                5           2        62
                7           3      1170
                8           3      1159
               10           3      1191
               20           2      1110
               30           2      1150
               50           0      1270
              100           0      1270
              150           0      1270
              200           0      1270

sub-010070 ep04
 min_cluster_size  n_clusters   n_noise
                3           2         7
                5           4      1156
                7           2      1175
                8           3      1155
               10           2      1259
               20           0      1386
               30           0      1386
               50           0      1386
              100           0      1386
              150           0      1386
              200           0      1386

sub-010070 ep05
 min_cluster_size  n_clusters   n_noise
                3           3        40
                5           8      1156
                7           4      1137
                8           2      1142
               10           2      1160
               20           0      1243
               30           0      1243
               50           0      1243
              100           0      1243
              150           0      1243
              200           0      1243

sub-010070 ep06
 min_cluster_size  n_clusters   n_noise
                3           3        21
                5           2       823
                7           4      1102
                8           3      1119
               10           2      1134
               20           0      1169
               30           0      1169
               50           0      1169
              100           0      1169
              150           0      1169
              200           0      1169

sub-010071 ep00
 min_cluster_size  n_clusters   n_noise
                3           3       119
                5           2       804
                7           2       878
                8           2       830
               10           2       921
               20           2       965
               30           2       949
               50           2      1016
              100           2       960
              150           0      1206
              200           0      1206

sub-010071 ep01
 min_cluster_size  n_clusters   n_noise
                3           5       259
                5           6       977
                7           2       963
                8           2       952
               10           3      1020
               20           2       962
               30           2       879
               50           2       911
              100           0      1206
              150           0      1206
              200           0      1206

sub-010071 ep02
 min_cluster_size  n_clusters   n_noise
                3           2        91
                5           9       988
                7           2       951
                8           2       961
               10           3      1022
               20           2      1064
               30           2      1034
               50           2       986
              100           0      1209
              150           0      1209
              200           0      1209

sub-010071 ep03
 min_cluster_size  n_clusters   n_noise
                3           3       217
                5           3       818
                7           2       802
                8           2       989
               10           2      1012
               20           2      1032
               30           2      1001
               50           2      1045
              100           0      1221
              150           0      1221
              200           0      1221

sub-010071 ep04
 min_cluster_size  n_clusters   n_noise
                3           3       168
                5          11       938
                7           4       967
                8           4       995
               10           2      1041
               20           2      1048
               30           2      1064
               50           2      1004
              100           0      1327
              150           0      1327
              200           0      1327

sub-010071 ep05
 min_cluster_size  n_clusters   n_noise
                3           2        22
                5           2      1152
                7           5      1876
                8           3      1802
               10           2      1671
               20           2      1681
               30           2      1770
               50           2      1665
              100           2      1624
              150           2      1608
              200           0      2191

sub-010071 ep06
 min_cluster_size  n_clusters   n_noise
                3           2         7
                5           3       809
                7           2       767
                8           2       753
               10           2       848
               20           2       837
               30           2       796
               50           2       833
              100           0      1154
              150           0      1154
              200           0      1154

sub-010072 ep00
 min_cluster_size  n_clusters   n_noise
                3           2        71
                5           2       568
                7           2       959
                8           2       944
               10           2       920
               20           2       953
               30           2       953
               50           2       878
              100           2       921
              150           0      1356
              200           0      1356

sub-010072 ep01
 min_cluster_size  n_clusters   n_noise
                3           2       131
                5           4       899
                7           2       948
                8           2       950
               10           2       954
               20           2       939
               30           2       909
               50           2       905
              100           2       964
              150           0      1331
              200           0      1331

sub-010072 ep02
 min_cluster_size  n_clusters   n_noise
                3           2        46
                5           5      1012
                7           2      1045
                8           2       971
               10           2       933
               20           2       991
               30           2       941
               50           2       959
              100           0      1366
              150           0      1366
              200           0      1366

sub-010072 ep03
 min_cluster_size  n_clusters   n_noise
                3           5       179
                5           2       774
                7           2      1372
                8           3      1458
               10           2      1435
               20           2      1511
               30           2      1467
               50           2      1416
              100           0      1575
              150           0      1575
              200           0      1575

sub-010072 ep04
 min_cluster_size  n_clusters   n_noise
                3           3       266
                5           3      1100
                7           2      1121
                8           2      1168
               10           2      1220
               20           2      1231
               30           2      1275
               50           0      1393
              100           0      1393
              150           0      1393
              200           0      1393

sub-010072 ep05
 min_cluster_size  n_clusters   n_noise
                3           4       285
                5           2       667
                7           2      1238
                8           2      1226
               10           2      1233
               20           2      1251
               30           0      1370
               50           0      1370
              100           0      1370
              150           0      1370
              200           0      1370

sub-010072 ep06
 min_cluster_size  n_clusters   n_noise
                3           2       305
                5           6       947
                7           4      1007
                8           2       981
               10           3      1017
               20           2      1004
               30           2      1034
               50           2      1046
              100           0      1173
              150           0      1173
              200           0      1173

sub-010073 ep00
 min_cluster_size  n_clusters   n_noise
                3          11       564
                5           3      1157
                7           2      1156
                8           2      1329
               10           2      1335
               20           0      1387
               30           0      1387
               50           0      1387
              100           0      1387
              150           0      1387
              200           0      1387

sub-010073 ep01
 min_cluster_size  n_clusters   n_noise
                3           2       154
                5           5      1165
                7           2      1140
                8           2      1203
               10           2      1227
               20           0      1353
               30           0      1353
               50           0      1353
              100           0      1353
