
sub-010002 ep00
 min_cluster_size  n_clusters   n_noise
              100           0      1329
              150           0      1329
              200           0      1329

sub-010005 ep03
 min_cluster_size  n_clusters   n_noise
                3           6       252
                5           2       709
                7           2      1561
                8           2      1583
               10           2      1631
               20           2      1654
               30           2      1668
               50           2      1699
              100           0      1865
              150           0      1865
              200           0      1865

sub-010005 ep04
 min_cluster_size  n_clusters   n_noise
                3           6       259
                5           2       577
                7           2      1238
                8           2      1253
               10           2      1168
               20           2      1251
               30           2      1259
               50           0      1352
              100           0      1352
              150           0      1352
              200           0      1352

sub-010005 ep05
 min_cluster_size  n_clusters   n_noise
                3           2       192
                5           2       903
                7           3      1706
                8           2      1690
               10           2      1683
               20           2      1743
               30           2      1777
               50           0      1879
              100           0      1879
              150           0      1879
              200           0      1879

sub-010005 ep06
 min_cluster_size  n_clusters   n_noise
                3           2        46
                5           3       847
                7           2      1051
                8           2      1083
               10           2      1078
               20           2      1117
               30           0      1188
               50           0      1188
              100           0      1188
              150           0      1188
              200           0      1188

sub-010006 ep00
 min_cluster_size  n_clusters   n_noise
                3           3        90
                5           3       769
                7           4      1452
                8           4      1449
               10           0      1517
               20           0      1517
               30           0      1517
               50           0      1517
              100           0      1517
              150           0      1517
              200           0      1517

sub-010006 ep01
 min_cluster_size  n_clusters   n_noise
                3           2        75
                5           3       529
                7           2      1394
                8           2      1379
               10           2      1384
               20           0      1452
               30           0      1452
               50           0      1452
              100           0      1452
              150           0      1452
              200           0      1452

sub-010006 ep02
 min_cluster_size  n_clusters   n_noise
                3           7       215
                5           2      1352
                7           2      1367
                8           2      1386
               10           2      1410
               20           0      1469
               30           0      1469
               50           0      1469
              100           0      1469
              150           0      1469
              200           0      1469

sub-010006 ep03
 min_cluster_size  n_clusters   n_noise
                3           2       150
                5           3       641
                7           5      1680
                8           4      1674
               10           2      1708
               20           0      1764
               30           0      1764
               50           0      1764
              100           0      1764
              150           0      1764
              200           0      1764

sub-010006 ep04
 min_cluster_size  n_clusters   n_noise
                3           3       203
                5           3       945
                7           2      1308
                8           2      1339
               10           2      1405
               20           0      1453
               30           0      1453
               50           0      1453
              100           0      1453
              150           0      1453
              200           0      1453

sub-010006 ep05
 min_cluster_size  n_clusters   n_noise
                3           2        39
                5           2       552
                7           2      1500
                8           3      1532
               10           2      1548
               20           0      1575
               30           0      1575
               50           0      1575
              100           0      1575
              150           0      1575
              200           0      1575

sub-010006 ep06
 min_cluster_size  n_clusters   n_noise
                3           2        77
                5           3      1098
                7           4      1226
                8           2      1218
               10           2      1206
               20           0      1290
               30           0      1290
               50           0      1290
              100           0      1290
              150           0      1290
              200           0      1290

sub-010007 ep00
 min_cluster_size  n_clusters   n_noise
                3           2        24
                5           3       611
                7           2       594
                8           2      1410
               10           2      1358
               20           0      1548
               30           0      1548
               50           0      1548
              100           0      1548
              150           0      1548
              200           0      1548

sub-010007 ep01
 min_cluster_size  n_clusters   n_noise
                3           5       117
                5           3       291
                7           2      1213
                8           2      1257
               10           2      1272
               20           2      1211
               30           0      1504
               50           0      1504
              100           0      1504
              150           0      1504
              200           0      1504

sub-010007 ep02
 min_cluster_size  n_clusters   n_noise
                3           2        18
                5           2       184
                7           3      1317
                8           3      1273
               10           3      1268
               20           2      1263
               30           2      1285
               50           2      1293
              100           0      1644
              150           0      1644
              200           0      1644

sub-010007 ep03
 min_cluster_size  n_clusters   n_noise
                3           3        43
                5           2       580
                7           2       984
                8           2       725
               10           2      1445
               20           0      1622
               30           0      1622
               50           0      1622
              100           0      1622
              150           0      1622
              200           0      1622

sub-010007 ep04
 min_cluster_size  n_clusters   n_noise
                3           3        27
                5           8      1052
                7           4      1099
                8           4      1103
               10           4      1169
               20           2      1055
               30           2      1031
               50           0      1482
              100           0      1482
              150           0      1482
              200           0      1482

sub-010007 ep05
 min_cluster_size  n_clusters   n_noise
                3          91      1061
                5           3       410
                7           5      1169
                8           3      1193
               10           3      1212
               20           2      1164
               30           2      1147
               50           0      1582
              100           0      1582
              150           0      1582
              200           0      1582

sub-010007 ep06
 min_cluster_size  n_clusters   n_noise
                3           6       141
                5           2       631
                7           5       915
                8           3       923
               10           2       945
               20           2       975
               30           2       959
               50           2       943
              100           0      1365
              150           0      1365
              200           0      1365

sub-010010 ep00
 min_cluster_size  n_clusters   n_noise
                3           2        23
                5           2       571
                7           2      1249
                8           2      1258
               10           2      1317
               20           0      1347
               30           0      1347
               50           0      1347
              100           0      1347
              150           0      1347
              200           0      1347

sub-010010 ep01
 min_cluster_size  n_clusters   n_noise
                3           4       163
                5           6      1130
                7           2      1203
                8           2      1266
               10           2      1286
               20           0      1375
               30           0      1375
               50           0      1375
              100           0      1375
              150           0      1375
              200           0      1375

sub-010010 ep02
 min_cluster_size  n_clusters   n_noise
                3           3       108
                5           3      1347
                7           2      1395
                8           2      1384
               10           2      1370
               20           0      1425
               30           0      1425
               50           0      1425
              100           0      1425
              150           0      1425
              200           0      1425

sub-010010 ep03
 min_cluster_size  n_clusters   n_noise
                3           9       227
                5           2       572
                7           5      1394
                8           2      1402
               10           2      1415
               20           0      1476
               30           0      1476
               50           0      1476
              100           0      1476
              150           0      1476
              200           0      1476

sub-010010 ep04
 min_cluster_size  n_clusters   n_noise
                3           2       104
                5           2       518
                7           5      1146
                8           2      1124
               10           2      1136
               20           2      1181
               30           2      1216
               50           2      1185
              100           0      1359
              150           0      1359
              200           0      1359

sub-010010 ep05
 min_cluster_size  n_clusters   n_noise
                3           2       144
                5           2       497
                7           3      1284
                8           3      1306
               10           2      1330
               20           2      1355
               30           0      1412
               50           0      1412
              100           0      1412
              150           0      1412
              200           0      1412

sub-010010 ep06
 min_cluster_size  n_clusters   n_noise
                3           3        32
                5           5      1089
                7           4      1148
                8           3      1139
               10           2      1146
               20           2      1187
               30           0      1268
               50           0      1268
              100           0      1268
              150           0      1268
              200           0      1268

sub-010012 ep00
 min_cluster_size  n_clusters   n_noise
                3           2        71
                5           2      1022
                7           2      1175
                8           3      1308
               10           2      1445
               20           0      1596
               30           0      1596
               50           0      1596
              100           0      1596
              150           0      1596
              200           0      1596

sub-010012 ep01
 min_cluster_size  n_clusters   n_noise
                3           2       187
                5           2      1024
                7           2      1303
                8           3      1346
               10           2      1392
               20           0      1873
               30           0      1873
               50           0      1873
              100           0      1873
              150           0      1873
              200           0      1873

sub-010012 ep02
 min_cluster_size  n_clusters   n_noise
                3          44      1006
                5           4      1139
                7           4      1227
                8           4      1228
               10           2       953
               20           0      1667
               30           0      1667
               50           0      1667
              100           0      1667
              150           0      1667
              200           0      1667

sub-010012 ep03
 min_cluster_size  n_clusters   n_noise
                3          31       878
                5           2       552
                7           2       974
                8           2       943
               10           2       939
               20           2      1424
               30           2      1452
               50           0      1611
              100           0      1611
              150           0      1611
              200           0      1611

sub-010012 ep04
 min_cluster_size  n_clusters   n_noise
                3           5       239
                5           2       735
                7           2      1027
                8           2      1044
               10           2      1341
               20           0      1634
               30           0      1634
               50           0      1634
              100           0      1634
              150           0      1634
              200           0      1634

sub-010012 ep05
 min_cluster_size  n_clusters   n_noise
                3           3       234
                5           3      1435
                7           4      1483
                8           3      1483
               10           3      1491
               20           2      1499
               30           2      1496
               50           0      1785
              100           0      1785
              150           0      1785
              200           0      1785

sub-010012 ep06
 min_cluster_size  n_clusters   n_noise
                3           2       136
                5           7      1161
                7           3      1125
                8           3      1160
               10           3      1169
               20           2      1216
               30           2      1194
               50           2      1151
              100           0      1465
              150           0      1465
              200           0      1465

sub-010016 ep00
 min_cluster_size  n_clusters   n_noise
                3           2       125
                5           2      1204
                7           3      1369
                8           2      1340
               10           2      1281
               20           2      1343
               30           2      1359
               50           0      1474
              100           0      1474
              150           0      1474
              200           0      1474

sub-010016 ep01
 min_cluster_size  n_clusters   n_noise
                3           3        24
                5           3      1238
                7           3      1371
                8           2      1363
               10           3      1339
               20           2      1388
               30           2      1414
               50           0      1502
              100           0      1502
              150           0      1502
              200           0      1502

sub-010016 ep02
 min_cluster_size  n_clusters   n_noise
                3           3        55
                5           2      1182
                7           3      1390
                8           3      1417
               10           2      1418
               20           2      1447
               30           2      1451
               50           0      1512
              100           0      1512
              150           0      1512
              200           0      1512

sub-010016 ep03
 min_cluster_size  n_clusters   n_noise
                3           5       661
                5           3      1052
                7           2      1216
                8           2      1246
               10           3      1347
               20           2      1369
               30           0      1442
               50           0      1442
              100           0      1442
              150           0      1442
              200           0      1442

sub-010016 ep04
 min_cluster_size  n_clusters   n_noise
                3           3        55
                5           2      1155
                7           2      1150
                8           2      1381
               10           2      1389
               20           2      1399
               30           2      1395
               50           0      1475
              100           0      1475
              150           0      1475
              200           0      1475

sub-010016 ep05
 min_cluster_size  n_clusters   n_noise
                3           4        91
                5           2      1197
                7           2      1303
                8           2      1344
               10           3      1376
               20           2      1391
               30           2      1426
               50           0      1518
              100           0      1518
              150           0      1518
              200           0      1518

sub-010016 ep06
 min_cluster_size  n_clusters   n_noise
                3           2        29
                5           2       948
                7           2      1281
                8           3      1295
               10           2      1287
               20           2      1339
               30           0      1386
               50           0      1386
              100           0      1386
              150           0      1386
              200           0      1386

sub-010017 ep00
 min_cluster_size  n_clusters   n_noise
                3           2       226
                5           2      1136
                7           2      1145
                8           2      1192
               10           2      1183
               20           2      1261
               30           0      1395
               50           0      1395
              100           0      1395
              150           0      1395
              200           0      1395

sub-010017 ep01
 min_cluster_size  n_clusters   n_noise
                3           2        24
                5           5      1199
                7           5      1257
                8           2      1255
               10           2      1291
               20           0      1409
               30           0      1409
               50           0      1409
              100           0      1409
              150           0      1409
              200           0      1409

sub-010017 ep02
 min_cluster_size  n_clusters   n_noise
                3           4       282
                5           2      1039
                7           3      1319
                8           3      1329
               10           2      1311
               20           2      1334
               30           0      1424
               50           0      1424
              100           0      1424
              150           0      1424
              200           0      1424

sub-010017 ep03
 min_cluster_size  n_clusters   n_noise
                3           9       556
                5           2      1120
                7           2      1396
                8           0      1433
               10           2      1389
               20           0      1433
               30           0      1433
               50           0      1433
              100           0      1433
              150           0      1433
              200           0      1433

sub-010017 ep04
 min_cluster_size  n_clusters   n_noise
                3           2        32
                5           4      1239
                7           2      1236
                8           2      1424
               10           2      1395
               20           2      1508
               30           0      1566
               50           0      1566
              100           0      1566
              150           0      1566
              200           0      1566

sub-010017 ep05
 min_cluster_size  n_clusters   n_noise
                3           5       438
                5           2       914
                7           2      1193
                8           2      1219
               10           2      1283
               20           2      1320
               30           2      1345
               50           0      1408
              100           0      1408
              150           0      1408
              200           0      1408

sub-010017 ep06
 min_cluster_size  n_clusters   n_noise
                3           2       267
                5           5      1165
                7           2      1209
                8           2      1224
               10           2      1240
               20           0      1316
               30           0      1316
               50           0      1316
              100           0      1316
              150           0      1316
              200           0      1316

sub-010019 ep00
 min_cluster_size  n_clusters   n_noise
                3           3       330
                5           2       792
                7           2      1194
                8           2      1207
               10           2      1200
               20           2      1252
               30           2      1326
               50           2      1264
              100           0      1490
              150           0      1490
              200           0      1490

sub-010019 ep01
 min_cluster_size  n_clusters   n_noise
                3           2        74
                5           2       407
                7           2       471
                8           3      1296
               10           2      1233
               20           2      1339
               30           2      1329
               50           0      1482
              100           0      1482
              150           0      1482
              200           0      1482

sub-010019 ep02
 min_cluster_size  n_clusters   n_noise
                3           2       221
                5           2       885
                7           2      1309
                8           3      1373
               10           2      1368
               20           2      1290
               30           2      1269
               50           2      1250
              100           0      1483
              150           0      1483
              200           0      1483

sub-010019 ep03
 min_cluster_size  n_clusters   n_noise
                3           2       178
                5           3       987
                7           2      1252
                8           2      1263
               10           2      1389
               20           2      1393
               30           0      1467
               50           0      1467
              100           0      1467
              150           0      1467
              200           0      1467

sub-010019 ep04
 min_cluster_size  n_clusters   n_noise
                3           2       185
                5           2       482
                7           2       517
                8           4      1289
               10           2      1299
               20           2      1342
               30           0      1416
               50           0      1416
              100           0      1416
              150           0      1416
              200           0      1416

sub-010019 ep05
 min_cluster_size  n_clusters   n_noise
                3           3       178
                5           2      1275
                7           5      2063
                8           2      1975
               10           2      1993
               20           2      2101
               30           2      2084
               50           2      2094
              100           0      2301
              150           0      2301
              200           0      2301

sub-010019 ep06
 min_cluster_size  n_clusters   n_noise
                3           3       116
                5           3       806
                7           3      1064
                8           3      1093
               10           3      1106
               20           2      1206
               30           2      1171
               50           2      1139
              100           0      1342
              150           0      1342
              200           0      1342

sub-010020 ep00
 min_cluster_size  n_clusters   n_noise
                3           3       187
                5           7      1084
                7           2      1002
                8           3      1170
               10           3      1141
               20           2      1204
               30           0      1285
               50           0      1285
              100           0      1285
              150           0      1285
              200           0      1285

sub-010020 ep01
 min_cluster_size  n_clusters   n_noise
                3           2       175
                5           5      1304
                7           2      1283
                8           2      1357
               10           3      1571
               20           2      1577
               30           0      1670
               50           0      1670
              100           0      1670
              150           0      1670
              200           0      1670

sub-010020 ep02
 min_cluster_size  n_clusters   n_noise
                3           2        35
                5           2      1002
                7           4      1209
                8           2      1055
               10           2      1224
               20           0      1292
               30           0      1292
               50           0      1292
              100           0      1292
              150           0      1292
              200           0      1292

sub-010020 ep03
 min_cluster_size  n_clusters   n_noise
                3           2        68
                5           6      1072
                7           2      1118
                8           2      1131
               10           2      1152
               20           0      1270
               30           0      1270
               50           0      1270
              100           0      1270
              150           0      1270
              200           0      1270

sub-010020 ep04
 min_cluster_size  n_clusters   n_noise
                3           2        85
                5           2       551
                7           2      1198
                8           2      1170
               10           2      1158
               20           2      1199
               30           2      1166
               50           0      1261
              100           0      1261
              150           0      1261
              200           0      1261

sub-010020 ep05
 min_cluster_size  n_clusters   n_noise
                3           3       138
                5           6      1100
                7           5      1189
                8           3      1147
               10           3      1165
               20           2      1114
               30           2      1127
               50           0      1301
              100           0      1301
              150           0      1301
              200           0      1301

sub-010021 ep00
 min_cluster_size  n_clusters   n_noise
                3           4        93
                5           5      1103
                7           2      1137
                8           3      1207
               10           2      1240
               20           2      1246
               30           0      1325
               50           0      1325
              100           0      1325
              150           0      1325
              200           0      1325

sub-010021 ep01
 min_cluster_size  n_clusters   n_noise
                3           3       134
                5           4       779
                7           2      1019
                8           2       968
               10           2       982
               20           2      1038
               30           2      1079
               50           2      1163
              100           0      1337
              150           0      1337
              200           0      1337

sub-010021 ep02
 min_cluster_size  n_clusters   n_noise
                3           2       177
                5           2       528
                7           2      1130
                8           3      1199
               10           2      1197
               20           2      1247
               30           2      1234
               50           0      1312
              100           0      1312
              150           0      1312
              200           0      1312

sub-010021 ep03
 min_cluster_size  n_clusters   n_noise
                3           5       199
                5           2       302
                7           2      1165
                8           2      1180
               10           2      1197
               20           2      1235
               30           2      1214
               50           0      1337
              100           0      1337
              150           0      1337
              200           0      1337

sub-010021 ep04
 min_cluster_size  n_clusters   n_noise
                3           2       182
                5           2      1004
                7           2      1296
                8           2      1301
               10           2      1301
               20           0      1378
               30           0      1378
               50           0      1378
              100           0      1378
              150           0      1378
              200           0      1378

sub-010021 ep05
 min_cluster_size  n_clusters   n_noise
                3           2        86
                5           2      1003
                7           2      1038
                8           3      1313
               10           2      1305
               20           0      1394
               30           0      1394
               50           0      1394
              100           0      1394
              150           0      1394
              200           0      1394

sub-010021 ep06
 min_cluster_size  n_clusters   n_noise
                3           3       167
                5           2      1042
                7           2      1215
                8           2      1221
               10           0      1282
               20           0      1282
               30           0      1282
               50           0      1282
              100           0      1282
              150           0      1282
              200           0      1282

sub-010022 ep00
 min_cluster_size  n_clusters   n_noise
                3           2       158
                5           2       719
                7           3      1197
                8           2      1178
               10           2      1210
               20           2      1268
