subject,epoch,min_cluster_size,n_clusters,n_noise
sub-010004,ep00,200,0,1584
sub-010004,ep01,3,4,228
sub-010004,ep01,5,2,593
sub-010004,ep01,7,2,1268
sub-010004,ep01,8,2,1288
sub-010004,ep01,10,2,1316
sub-010004,ep01,20,2,1344
sub-010004,ep01,30,2,1349
sub-010004,ep01,50,0,1424
sub-010004,ep01,100,0,1424
sub-010004,ep01,150,0,1424
sub-010004,ep01,200,0,1424
sub-010004,ep02,3,2,76
sub-010004,ep02,5,9,1246
sub-010004,ep02,7,2,1303
sub-010004,ep02,8,3,1333
sub-010004,ep02,10,2,1286
sub-010004,ep02,20,2,1347
sub-010004,ep02,30,0,1401
sub-010004,ep02,50,0,1401
sub-010004,ep02,100,0,1401
sub-010004,ep02,150,0,1401
sub-010004,ep02,200,0,1401
sub-010004,ep03,3,6,265
sub-010004,ep03,5,4,1163
sub-010004,ep03,7,3,1271
sub-010004,ep03,8,2,1259
sub-010004,ep03,10,2,1365
sub-010004,ep03,20,0,1414
sub-010004,ep03,30,0,1414
sub-010004,ep03,50,0,1414
sub-010004,ep03,100,0,1414
sub-010004,ep03,150,0,1414
sub-010004,ep03,200,0,1414
sub-010004,ep04,3,3,71
sub-010004,ep04,5,2,767
sub-010004,ep04,7,2,1363
sub-010004,ep04,8,2,1410
sub-010004,ep04,10,2,1429
sub-010004,ep04,20,0,1567
sub-010004,ep04,30,0,1567
sub-010004,ep04,50,0,1567
sub-010004,ep04,100,0,1567
sub-010004,ep04,150,0,1567
sub-010004,ep04,200,0,1567
sub-010004,ep05,3,2,34
sub-010004,ep05,5,2,1223
sub-010004,ep05,7,4,1373
sub-010004,ep05,8,2,1375
sub-010004,ep05,10,2,1387
sub-010004,ep05,20,0,1436
sub-010004,ep05,30,0,1436
sub-010004,ep05,50,0,1436
sub-010004,ep05,100,0,1436
sub-010004,ep05,150,0,1436
sub-010004,ep05,200,0,1436
sub-010004,ep06,3,3,40
sub-010004,ep06,5,5,1131
sub-010004,ep06,7,3,1155
sub-010004,ep06,8,3,1188
sub-010004,ep06,10,3,1225
sub-010004,ep06,20,2,1217
sub-010004,ep06,30,2,1206
sub-010004,ep06,50,0,1283
sub-010004,ep06,100,0,1283
sub-010004,ep06,150,0,1283
sub-010004,ep06,200,0,1283
sub-010005,ep00,3,2,52
sub-010005,ep00,5,3,853
sub-010005,ep00,7,3,879
sub-010005,ep00,8,2,893
sub-010005,ep00,10,2,898
sub-010005,ep00,20,2,982
sub-010005,ep00,30,2,945
sub-010005,ep00,50,2,1011
sub-010005,ep00,100,0,1228
sub-010005,ep00,150,0,1228
sub-010005,ep00,200,0,1228
sub-010005,ep01,3,3,378
sub-010005,ep01,5,4,1205
sub-010005,ep01,7,2,1243
sub-010005,ep01,8,2,1227
sub-010005,ep01,10,2,1283
sub-010005,ep01,20,2,1365
